City Name,Zone Name,Ward Name,Ward No.,Total no. of Households,schools_count,hospitals_count,roads_count,parks_count
Agra,Hariparwat,Wajirpura,92,5733.0,54,205,25667,172
Agra,Hariparwat,Kamla Nagar,93,3096.0,54,205,25667,172
Agra,Hariparwat,Bagh Farzana,94,2594.0,54,205,25667,172
Agra,Chatta,Dhankot,95,1547.0,54,205,25667,172
Agra,Hariparwat,Maharshipuram,96,4464.0,54,205,25667,172
Agra,Tajganj,Gover Chawki,97,3142.0,54,205,25667,172
Agra,Tajganj,Vibhav Nagar,98,2634.0,54,205,25667,172
Agra,Chatta,Piple Mandi,99,2117.0,54,205,25667,172
Agra,Chatta,Nai Ki Mandi,100,1054.0,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
,,,,,54,205,25667,172
